age,monthly_charges,tenure_months,support_calls,churn,total_charges,age_group,tenure_years,support_call_rate,age_group_encoded
22,25,2,5,1,50,Young,0.16666666666666666,2.5,0
25,30,3,4,1,90,Young,0.25,1.3333333333333333,0
28,35,5,5,1,175,Adult,0.4166666666666667,1.0,1
30,40,6,3,1,240,Adult,0.5,0.5,1
32,45,8,4,1,360,Adult,0.6666666666666666,0.5,1
35,50,10,3,0,500,Adult,0.8333333333333334,0.3,1
38,55,12,2,0,660,Adult,1.0,0.16666666666666666,1
40,60,15,2,0,900,Adult,1.25,0.13333333333333333,1
42,65,18,1,0,1170,Middle_Aged,1.5,0.05555555555555555,2
45,70,20,1,0,1400,Middle_Aged,1.6666666666666667,0.05,2
23,28,4,6,1,112,Young,0.3333333333333333,1.5,0
27,33,6,5,1,198,Adult,0.5,0.8333333333333334,1
31,38,7,4,1,266,Adult,0.5833333333333334,0.5714285714285714,1
34,43,9,5,1,387,Adult,0.75,0.5555555555555556,1
37,48,11,3,0,528,Adult,0.9166666666666666,0.2727272727272727,1
41,53,13,2,0,689,Middle_Aged,1.0833333333333333,0.15384615384615385,2
44,58,16,3,0,928,Middle_Aged,1.3333333333333333,0.1875,2
48,63,19,1,0,1197,Middle_Aged,1.5833333333333333,0.05263157894736842,2
50,68,21,2,0,1428,Middle_Aged,1.75,0.09523809523809523,2
52,73,24,1,0,1752,Middle_Aged,2.0,0.041666666666666664,2
24,27,3,7,1,81,Young,0.25,2.3333333333333335,0
29,37,5,5,1,185,Adult,0.4166666666666667,1.0,1
33,42,8,4,1,336,Adult,0.6666666666666666,0.5,1
36,47,10,3,0,470,Adult,0.8333333333333334,0.3,1
39,52,14,4,0,728,Adult,1.1666666666666667,0.2857142857142857,1
43,57,17,2,0,969,Middle_Aged,1.4166666666666667,0.11764705882352941,2
46,62,20,2,0,1240,Middle_Aged,1.6666666666666667,0.1,2
49,67,22,1,0,1474,Middle_Aged,1.8333333333333333,0.045454545454545456,2
51,72,25,1,0,1800,Middle_Aged,2.0833333333333335,0.04,2
55,77,27,0,0,2079,Middle_Aged,2.25,0.0,2
26,32,2,6,1,64,Adult,0.16666666666666666,3.0,1
30,39,4,5,1,156,Adult,0.3333333333333333,1.25,1
35,46,7,4,1,322,Adult,0.5833333333333334,0.5714285714285714,1
40,54,9,3,0,486,Adult,0.75,0.3333333333333333,1
45,61,12,2,0,732,Middle_Aged,1.0,0.16666666666666666,2
50,69,15,2,0,1035,Middle_Aged,1.25,0.13333333333333333,2
54,75,18,1,0,1350,Middle_Aged,1.5,0.05555555555555555,2
58,80,21,1,0,1680,Middle_Aged,1.75,0.047619047619047616,2
60,85,23,0,0,1955,Middle_Aged,1.9166666666666667,0.0,2
62,90,26,0,0,2340,Senior,2.1666666666666665,0.0,3
21,24,3,7,1,72,Young,0.25,2.3333333333333335,0
28,36,6,6,1,216,Adult,0.5,1.0,1
32,44,9,5,0,396,Adult,0.75,0.5555555555555556,1
38,51,13,4,0,663,Adult,1.0833333333333333,0.3076923076923077,1
43,59,16,3,0,944,Middle_Aged,1.3333333333333333,0.1875,2
47,66,19,2,0,1254,Middle_Aged,1.5833333333333333,0.10526315789473684,2
53,74,22,1,0,1628,Middle_Aged,1.8333333333333333,0.045454545454545456,2
57,81,24,1,0,1944,Middle_Aged,2.0,0.041666666666666664,2
61,88,28,0,0,2464,Senior,2.3333333333333335,0.0,3
65,95,30,0,0,2850,Senior,2.5,0.0,3
